0,11339,11211,11256,10703,11002,11108,10600,11531,10225,10424,10604,10974,11341,10024,10150,10115,10645,10193,10172,10733,9946,9688,10074,10478,9507,9863
10149,0,422,623,918,333,789,974,2071,1154,811,1537,1328,1881,1311,1148,1732,1931,1831,2652,2535,1588,2223,3070,2119,2907,2351
10032,275,0,392,984,397,567,1040,2138,1220,816,1603,1093,1947,1194,1153,1615,1814,1725,2295,2178,1353,2154,2713,1885,2790,2117
10065,624,400,0,1017,462,600,1073,2171,1253,849,1636,1126,1980,1227,1186,1648,1847,1758,2328,2211,1386,2187,2746,1918,2823,2150
9523,910,966,1010,0,577,1005,347,1444,498,738,812,1542,1254,684,1075,1105,1305,1204,1785,1668,1623,1597,2203,2155,2280,2559
9817,333,419,463,585,0,456,641,1739,821,478,1204,995,1548,978,815,1400,1599,1498,2319,2202,1255,1891,2737,1787,2574,2019
9733,804,580,624,1028,473,0,1084,2181,1054,517,1413,794,1991,894,854,1316,1515,1425,1996,1879,1054,1854,2413,1586,2490,1818
9616,730,787,831,385,397,670,0,1538,621,683,1004,1197,1348,778,1019,1199,1398,1298,2119,2002,1456,1690,2536,1988,2374,2220
9979,1367,1422,1467,731,1034,1472,804,0,608,1195,301,1999,569,859,1532,658,857,1032,1340,1223,2080,1088,1725,2612,1773,3015
9586,1172,1228,1272,536,840,888,410,1306,0,606,378,1463,1115,222,943,643,842,753,1323,1206,1686,1073,1741,2254,1758,2628
9289,769,815,859,744,445,528,636,1897,609,0,923,884,1707,405,337,826,1025,960,1506,1389,1144,1363,1891,1676,2047,1908
9564,1551,1607,1651,915,1219,1202,690,997,378,935,0,1728,563,586,1272,356,556,678,1039,922,1665,787,1424,2196,1472,2982
9711,1050,832,692,1273,718,546,1263,2426,1162,625,1550,0,2236,1002,927,1423,1623,1533,2103,1986,985,1785,2488,1517,2469,1749
9774,1773,1829,1873,1137,1440,1488,980,1310,665,1276,313,2133,0,871,1613,642,290,892,771,654,1878,1000,1189,2410,1515,2715
9417,1156,1192,1236,684,823,906,581,2238,222,405,586,1262,1246,0,742,421,620,531,1101,984,1522,852,1519,2054,1536,2285
9406,1118,1155,1199,1341,786,869,1302,2494,1201,664,1520,1202,2304,1042,0,1463,1662,1077,1699,1684,1042,1480,2237,1574,2164,1806
9207,1577,1613,1658,1105,1244,1327,1002,2008,643,826,356,1683,1017,421,731,0,391,322,649,536,1308,430,1187,1840,1115,2244
9598,1776,1813,1857,1305,1443,1526,1201,1617,842,1025,556,1882,626,620,1362,391,0,641,520,403,1699,821,938,2674,1264,2464
8882,1434,1470,1514,962,1101,1184,859,1779,473,720,858,1540,1588,272,409,693,892,0,1055,1039,982,836,1716,1514,1639,1725
9006,1810,1847,1891,1339,1478,1561,1236,2242,876,1060,590,1854,1157,655,846,234,624,436,0,560,1106,229,985,1638,914,2042
9464,2160,2197,2241,1689,1828,1911,1585,1750,1269,1410,917,2266,759,1005,1746,541,384,782,458,0,1564,686,725,2096,1202,2401
8858,1549,1586,1630,1763,1217,1300,1660,2874,1559,1014,1947,964,2684,1400,703,1437,2020,1519,1490,1603,0,1006,1693,689,1616,921
8777,2007,2044,2088,1643,1675,1758,1540,2438,1073,1257,787,1625,1354,852,1090,430,821,633,535,648,878,0,756,1410,685,1813
9343,2365,2402,2446,1894,2033,2116,1791,1955,1474,1615,1122,2472,964,1210,1497,888,589,1091,655,205,1443,567,0,1975,1082,2282
9172,2012,2049,2093,2226,1680,1763,2123,3337,2022,1477,2410,1427,3147,1863,1165,1900,2483,1982,1953,2065,679,1469,2156,0,1939,498
9078,2360,2396,2441,1944,2027,2110,1841,2699,1426,1609,1139,1926,1708,1204,1391,783,1174,986,836,949,1179,353,738,1710,0,2263
7120,2247,2283,2327,2630,1914,1997,2527,3741,2426,1712,2814,1661,3423,2267,1400,2304,2887,2386,2357,2469,913,1873,2531,762,1964,0
